,assays,leiden,topics,keep
adrenal_10x_20_Topic1_R0,adrenal_10x_20,3,Topic_4,True
adrenal_10x_20_Topic2_R0,adrenal_10x_20,7,Topic_8,True
adrenal_10x_20_Topic3_R0,adrenal_10x_20,0,Topic_1,True
adrenal_10x_20_Topic4_R0,adrenal_10x_20,16,Topic_17,True
adrenal_10x_20_Topic5_R0,adrenal_10x_20,12,Topic_13,True
adrenal_10x_20_Topic6_R0,adrenal_10x_20,0,Topic_1,True
adrenal_10x_20_Topic7_R0,adrenal_10x_20,9,Topic_10,True
adrenal_10x_20_Topic8_R0,adrenal_10x_20,4,Topic_5,True
adrenal_10x_20_Topic9_R0,adrenal_10x_20,10,Topic_11,True
adrenal_10x_20_Topic10_R0,adrenal_10x_20,3,Topic_4,True
adrenal_10x_20_Topic11_R0,adrenal_10x_20,5,Topic_6,True
adrenal_10x_20_Topic12_R0,adrenal_10x_20,15,Topic_16,True
adrenal_10x_20_Topic13_R0,adrenal_10x_20,19,Topic_20,True
adrenal_10x_20_Topic14_R0,adrenal_10x_20,4,Topic_5,True
adrenal_10x_20_Topic15_R0,adrenal_10x_20,17,Topic_18,True
adrenal_10x_20_Topic16_R0,adrenal_10x_20,8,Topic_9,True
adrenal_10x_20_Topic17_R0,adrenal_10x_20,6,Topic_7,True
adrenal_10x_20_Topic18_R0,adrenal_10x_20,8,Topic_9,True
adrenal_10x_20_Topic19_R0,adrenal_10x_20,11,Topic_12,True
adrenal_10x_20_Topic20_R0,adrenal_10x_20,1,Topic_2,True
adrenal_10x_20_Topic1_R1,adrenal_10x_20,8,Topic_9,True
adrenal_10x_20_Topic2_R1,adrenal_10x_20,12,Topic_13,True
adrenal_10x_20_Topic3_R1,adrenal_10x_20,7,Topic_8,True
adrenal_10x_20_Topic4_R1,adrenal_10x_20,8,Topic_9,True
adrenal_10x_20_Topic5_R1,adrenal_10x_20,0,Topic_1,True
adrenal_10x_20_Topic6_R1,adrenal_10x_20,2,Topic_3,True
adrenal_10x_20_Topic7_R1,adrenal_10x_20,9,Topic_10,True
adrenal_10x_20_Topic8_R1,adrenal_10x_20,17,Topic_18,True
adrenal_10x_20_Topic9_R1,adrenal_10x_20,2,Topic_3,True
adrenal_10x_20_Topic10_R1,adrenal_10x_20,1,Topic_2,True
adrenal_10x_20_Topic11_R1,adrenal_10x_20,11,Topic_12,True
adrenal_10x_20_Topic12_R1,adrenal_10x_20,10,Topic_11,True
adrenal_10x_20_Topic13_R1,adrenal_10x_20,2,Topic_3,True
adrenal_10x_20_Topic14_R1,adrenal_10x_20,11,Topic_12,True
adrenal_10x_20_Topic15_R1,adrenal_10x_20,2,Topic_3,True
adrenal_10x_20_Topic16_R1,adrenal_10x_20,6,Topic_7,True
adrenal_10x_20_Topic17_R1,adrenal_10x_20,15,Topic_16,True
adrenal_10x_20_Topic18_R1,adrenal_10x_20,3,Topic_4,True
adrenal_10x_20_Topic19_R1,adrenal_10x_20,1,Topic_2,True
adrenal_10x_20_Topic20_R1,adrenal_10x_20,5,Topic_6,True
adrenal_10x_20_Topic1_R2,adrenal_10x_20,16,Topic_17,True
adrenal_10x_20_Topic2_R2,adrenal_10x_20,4,Topic_5,True
adrenal_10x_20_Topic3_R2,adrenal_10x_20,3,Topic_4,True
adrenal_10x_20_Topic4_R2,adrenal_10x_20,7,Topic_8,True
adrenal_10x_20_Topic5_R2,adrenal_10x_20,21,Topic_22,True
adrenal_10x_20_Topic6_R2,adrenal_10x_20,15,Topic_16,True
adrenal_10x_20_Topic7_R2,adrenal_10x_20,11,Topic_12,True
adrenal_10x_20_Topic8_R2,adrenal_10x_20,7,Topic_8,True
adrenal_10x_20_Topic9_R2,adrenal_10x_20,10,Topic_11,True
adrenal_10x_20_Topic10_R2,adrenal_10x_20,2,Topic_3,True
adrenal_10x_20_Topic11_R2,adrenal_10x_20,9,Topic_10,True
adrenal_10x_20_Topic12_R2,adrenal_10x_20,0,Topic_1,True
adrenal_10x_20_Topic13_R2,adrenal_10x_20,12,Topic_13,True
adrenal_10x_20_Topic14_R2,adrenal_10x_20,19,Topic_20,True
adrenal_10x_20_Topic15_R2,adrenal_10x_20,5,Topic_6,True
adrenal_10x_20_Topic16_R2,adrenal_10x_20,0,Topic_1,True
adrenal_10x_20_Topic17_R2,adrenal_10x_20,11,Topic_12,True
adrenal_10x_20_Topic18_R2,adrenal_10x_20,1,Topic_2,True
adrenal_10x_20_Topic19_R2,adrenal_10x_20,8,Topic_9,True
adrenal_10x_20_Topic20_R2,adrenal_10x_20,6,Topic_7,True
adrenal_10x_20_Topic1_R3,adrenal_10x_20,4,Topic_5,True
adrenal_10x_20_Topic2_R3,adrenal_10x_20,4,Topic_5,True
adrenal_10x_20_Topic3_R3,adrenal_10x_20,16,Topic_17,True
