Gene,Tissue,Gen_celltype,Celltype,Subtype,Reference,Notes
Acsl1,Adrenal,Adipocyte,Adipocyte,Adipocyte,,
Pparg,Adrenal,Adipocyte,Adipocyte,Adipocyte,,
Adipoq,Adrenal,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Pnpla2,Adrenal,Adipocyte,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27,
Rspo1,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Nr2f2,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Gli1,Adrenal,Capsule,Capsule,Capsule,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4926862/,
Igfbp5,Adrenal,Capsule,Capsule,Capsule,,
Wt1,Adrenal,Capsule,Capsule,Capsule,,
Nr5a1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11a1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11b1,Adrenal,Cortex,Cortex,Cortex,,
Cyp11b2,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Agtr1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7,
Kcnk5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Kcnj5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Ncam1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Dab2,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.nature.com/articles/s41467-021-24870-7,
Dach1,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Lrg5,Adrenal,Cortex,Cortex,Cortex_ZG,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659737/,
Cyp17a1,Adrenal,Cortex,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7,
Star,Adrenal,Cortex,Cortex,Cortex_ZF,https://www.nature.com/articles/s41467-021-24870-7,
Runx2,Adrenal,Cortex,Cortex,X_zone,,
Akr1c18,Adrenal,Cortex,Cortex,X_zone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7446775/,
Pik3c2g,Adrenal,Cortex,Cortex,X_zone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7446775/,
Tek,Adrenal,Endothelial,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-24870-7,
Flt1,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Pecam1,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Vwf,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Flt4,Adrenal,Endothelial,Endothelial,Endothelial,https://panglaodb.se/markers.html?cell_type=%27Endothelial%20cells%27,
Vtn,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://panglaodb.se/markers.html?cell_type=%27Fibroblasts%27,
Col6a2,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://panglaodb.se/markers.html?cell_type=%27Fibroblasts%27,
Col1a1,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Postn,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Pdgfra,Adrenal,Fibroblast,Fibroblast,Fibroblast,,
Pdgfrb,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Dcn,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Cxcl12,Adrenal,Fibroblast,Fibroblast,Fibroblast,https://www.nature.com/articles/s41467-021-24870-7,
Alb,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,,
Ttr,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,,
Apoa2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Ttr,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Hal,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Sds,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.cell.com/cell/fulltext/S0092-8674(21)01481-1,
Glul,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
Axin2,Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,https://www.nature.com/articles/nature21065,
