technology,genotype,tissue,sex,timepoint,rep,sample,depth1,depth2,sublibrary,sublibrary_sample,run_number,rna_experiment_accession,rna_library_accession,rna_file_accession,lower_nCount_RNA,upper_nCount_RNA,lower_nFeature_RNA,upper_doublet_scores,upper_percent.mt
10x,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,standard,5-10k,10x,10x_A_14_F_1,NA,ENCSR402PHR,ENCLB069PRB,ENCFF221WGK,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,standard,5-10k,10x,10x_A_14_F_2,NA,ENCSR157YJO,ENCLB293BAX,ENCFF394IGL,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,standard,5-10k,10x,10x_A_14_M_1,NA,ENCSR021YYL,ENCLB663TUU,ENCFF492ORZ,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,standard,5-10k,10x,10x_A_14_M_2,NA,ENCSR988AMY,ENCLB568RWC,ENCFF453JNI,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,standard,5-10k,10x,10x_A_2m_F_1,NA,ENCSR908CQZ,ENCLB139QES,ENCFF910YZU,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,standard,5-10k,10x,10x_A_2m_F_2,NA,ENCSR749GDE,ENCLB442AMV,ENCFF955YJV,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,standard,5-10k,10x,10x_A_2m_M_1,NA,ENCSR224OUG,ENCLB607FDJ,ENCFF926IRN,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,standard,5-10k,10x,10x_A_2m_M_2,NA,ENCSR356VJZ,ENCLB495DSX,ENCFF620QGJ,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Gastrocnemius,Female,PND_14,1,G_14_F_1,standard,5-10k,10x,10x_G_14_F_1,NA,ENCSR478PUL,ENCLB320ZLU,ENCFF508CLR,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Female,PND_14,2,G_14_F_2,standard,5-10k,10x,10x_G_14_F_2,NA,ENCSR021MHR,ENCLB673NZA,ENCFF033JTC,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Male,PND_14,1,G_14_M_1,standard,5-10k,10x,10x_G_14_M_1,NA,ENCSR438FRT,ENCLB854VKF,ENCFF497CLL,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Male,PND_14,2,G_14_M_2,standard,5-10k,10x,10x_G_14_M_2,NA,ENCSR835ZXV,ENCLB995TFV,ENCFF382SUT,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Female,PNM_02,1,G_2m_F_1,standard,5-10k,10x,10x_G_2m_F_1,NA,ENCSR188GDL,ENCLB526RVS,ENCFF532EFQ,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Female,PNM_02,2,G_2m_F_2,standard,5-10k,10x,10x_G_2m_F_2,NA,ENCSR163GJZ,ENCLB786EOH,ENCFF571XTK,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Male,PNM_02,1,G_2m_M_1,standard,5-10k,10x,10x_G_2m_M_1,NA,ENCSR125XUV,ENCLB794PMK,ENCFF619BXW,500,30000,300,0.25,5
10x,Bl6/Cast,Gastrocnemius,Male,PNM_02,2,G_2m_M_2,standard,5-10k,10x,10x_G_2m_M_2,NA,ENCSR771MOE,ENCLB275WWO,ENCFF489ZUW,500,30000,300,0.25,5
10x,Bl6/Cast,Heart,Female,PND_14,1,H_14_F_1,standard,5-10k,10x,10x_H_14_F_1,NA,ENCSR333SLJ,ENCLB866MAL,ENCFF165THM,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Female,PND_14,2,H_14_F_2,standard,5-10k,10x,10x_H_14_F_2,NA,ENCSR415HEP,ENCLB808STP,ENCFF972ILZ,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Male,PND_14,1,H_14_M_1,standard,5-10k,10x,10x_H_14_M_1,NA,ENCSR568GGW,ENCLB807HIR,ENCFF475GUS,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Male,PND_14,2,H_14_M_2,standard,5-10k,10x,10x_H_14_M_2,NA,ENCSR533IGQ,ENCLB608YNH,ENCFF384DMT,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Female,PNM_02,1,H_2m_F_1,standard,5-10k,10x,10x_H_2m_F_1,NA,ENCSR665HPR,ENCLB560GBC,ENCFF853YBZ,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Female,PNM_02,2,H_2m_F_2,standard,5-10k,10x,10x_H_2m_F_2,NA,ENCSR417FCM,ENCLB871PHY,ENCFF187TWY,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Male,PNM_02,1,H_2m_M_1,standard,5-10k,10x,10x_H_2m_M_1,NA,ENCSR462HCD,ENCLB713ETA,ENCFF700OPG,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Heart,Male,PNM_02,2,H_2m_M_2,standard,5-10k,10x,10x_H_2m_M_2,NA,ENCSR644VVE,ENCLB847VJF,ENCFF143FKO,1000,30000,500,0.2,0.5
10x,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,standard,5-10k,10x,10x_C_14_F_1,NA,ENCSR720TUP,ENCLB676AMA,ENCFF225JAP,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,standard,5-10k,10x,10x_C_14_F_2,NA,ENCSR632EIK,ENCLB766ZBL,ENCFF878SIN,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,standard,5-10k,10x,10x_C_14_M_1,NA,ENCSR133XJX,ENCLB983BCX,ENCFF936DLK,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,standard,5-10k,10x,10x_C_14_M_2,NA,ENCSR624WDN,ENCLB063XDV,ENCFF541XGA,500,30000,300,0.25,5
