tissue,gen_celltype,celltypes,subtypes,order,gen_celltype_color,celltype_color,subtype_color
Hippocampus,Endothelial,Endothelial,Endothelial,1,#31A354,#31A354,#31A354
Hippocampus,Pericyte,Pericyte,Pericyte,2,#ef6647,#ef6647,#ef6647
Hippocampus,VLMC,VLMC,VLMC,3,#DE2D26,#DE2D26,#DE2D26
Hippocampus,Stromal,Ependymal,Ependymal,4,#a75628,#a75628,#a75628
Hippocampus,Immune,Microglia,Microglia,5,#dd77ae,#dd77ae,#dd77ae
Hippocampus,Glial,Astrocyte,Astrocyte,6,#75eacf,#75eacf,#75eacf
Hippocampus,Glial,OPC,OPC,7,#ffec96,#ffec96,#ffec96
Hippocampus,Glial,Oligodendrocyte,MFOL,8,#ccad23,#ccad23,#ffd92e
Hippocampus,Glial,Oligodendrocyte,MOL,9,#ccad23,#ccad23,#ccad23
Hippocampus,Neuron,GABAergic,Meis2,10,#938FC2,#b29471,#624128
Hippocampus,Neuron,GABAergic,Lamp5,11,#938FC2,#b29471,#cbae87
Hippocampus,Neuron,GABAergic,Pvalb,12,#938FC2,#b29471,#ddcdad
Hippocampus,Neuron,GABAergic,Sst,13,#938FC2,#b29471,#937151
Hippocampus,Neuron,GABAergic,Vip,14,#938FC2,#b29471,#b29471
Hippocampus,Neuron,Glutamatergic,CR,15,#938FC2,#938FC2,#E5E4F0
Hippocampus,Neuron,Glutamatergic,L2/3,16,#938FC2,#938FC2,#A8A6CF
Hippocampus,Neuron,Glutamatergic,L5/6,17,#938FC2,#938FC2,#3F007D
Hippocampus,Neuron,Glutamatergic,SUB_ProS,18,#938FC2,#938FC2,#6E59A7
Hippocampus,Neuron,Glutamatergic,Glut_other,19,#938FC2,#938FC2,#D4D4E8
Hippocampus,Neuron,Glutamatergic,CA1,20,#938FC2,#938FC2,#938FC2
Hippocampus,Neuron,Glutamatergic,CA3,21,#938FC2,#938FC2,#5D3A98
Hippocampus,Neuron,Glutamatergic,DG_early,22,#938FC2,#938FC2,#BEBFDD
Hippocampus,Neuron,Glutamatergic,DG,23,#938FC2,#938FC2,#938FC2
Heart,Adipocyte,Adipocyte,Adipocyte,1,#DE2D26,#DE2D26,#DE2D26
Heart,Endothelial,Endothelial,Endothelial_cycling,2,#31A354,#31A354,#A1D99B
Heart,Endothelial,Endothelial,Endothelial_juvenile,3,#31A354,#31A354,#31A354
Heart,Endothelial,Endothelial,Endothelial_adult,4,#31A354,#31A354,#006d2c
Heart,Endothelial,Lymphatic_endothelial,Lymphatic_endothelial,5,#a0db5a,#a0db5a,#a0db5a
Heart,Endothelial,Endocardial,Endocardial,6,#455440,#455440,#455440
Heart,Fibroblast,Fibroblast,Fibroblast_cycling,7,#ffd92e,#ffd92e,#ffec96
Heart,Fibroblast,Fibroblast,Fibroblast_juvenile,8,#ffd92e,#ffd92e,#ffd92e
Heart,Fibroblast,Fibroblast,Fibroblast_adult,9,#ffd92e,#ffd92e,#ccad24
Heart,Immune,Macrophage,Macrophage_cycling,10,#dd77ae,#dd77ae,#eebbd6
Heart,Immune,Macrophage,Macrophage,11,#dd77ae,#dd77ae,#dd77ae
Heart,Immune,Lymphocyte,Lymphocyte,12,#dd77ae,#9a5379,#9a5379
Heart,Smooth_muscle,Smooth_muscle,Smooth_muscle1,13,#40beb4,#40beb4,#40beb4
Heart,Smooth_muscle,Smooth_muscle,Smooth_muscle2,14,#40beb4,#40beb4,#75eacf
Heart,Pericyte,Pericyte,Pericyte_cycling,15,#ef6647,#ef6647,#fdbc83
Heart,Pericyte,Pericyte,Pericyte,16,#ef6647,#ef6647,#ef6647
Heart,Schwann,Schwann,Schwann,17,#578a9f,#578a9f,#578a9f
Heart,Stromal,Epicardial,Epicardial,18,#a75628,#a75628,#a75628
Heart,Cardiomyocyte,Cardiomyocyte,Cardiomyocyte_atrial,19,#f58581,#f58581,#fcdada
Heart,Cardiomyocyte,Cardiomyocyte,Cardiomyocyte_cycling,20,#f58581,#f58581,#ffc2c2
Heart,Cardiomyocyte,Cardiomyocyte,Cardiomyocyte_infant,21,#f58581,#f58581,#f5abac
Heart,Cardiomyocyte,Cardiomyocyte,Cardiomyocyte_juvenile,22,#f58581,#f58581,#f58581
Heart,Cardiomyocyte,Cardiomyocyte,Cardiomyocyte_adult,23,#f58581,#f58581,#bc5351
Adrenal,Adipocyte,Adipocyte,Adipocyte_cycling,1,#DE2D26,#DE2D26,#FC9272
Adrenal,Adipocyte,Adipocyte,Adipocyte,2,#DE2D26,#DE2D26,#DE2D26
Adrenal,Capsule,Capsule,Capsule,3,#daa520,#daa520,#daa520
Adrenal,Endothelial,Endothelial,Endothelial_cycling,4,#31A354,#31A354,#A1D99B
Adrenal,Endothelial,Endothelial,Endothelial,5,#31A354,#31A354,#31A354
Adrenal,Fibroblast,Fibroblast,Fibroblast,6,#ffd92e,#ffd92e,#ffd92e
Adrenal,Hepatocyte,Hepatocyte,Hepatocyte,7,#b0bc08,#b0bc08,#b0bc08
Adrenal,Immune,Macrophage,Macrophage,8,#dd77ae,#dd77ae,#dd77ae
Adrenal,Smooth_muscle,Smooth_muscle,Smooth_muscle,9,#40beb4,#40beb4,#40beb4
Adrenal,Myonuclei,Skeletal_muscle,Skeletal_muscle,10,#027bf7,#027bf7,#027bf7
Adrenal,Stromal,Stromal,Stromal,11,#a75628,#a75628,#a75628
Adrenal,Sox10,Sox10,Sox10,12,#c61b7d,#c61b7d,#c61b7d
Adrenal,Medulla,Medulla,Medulla_early,13,#BCBDDC,#BCBDDC,#EFEDF5
Adrenal,Medulla,Medulla,Medulla_EPI,14,#BCBDDC,#BCBDDC,#BCBDDC
Adrenal,Medulla,Medulla,Medulla_NE,15,#BCBDDC,#BCBDDC,#756BB1
Adrenal,Cortex,Cortex,Cortex_cycling,16,#FD8D3C,#FD8D3C,#FDD0A2
Adrenal,Cortex,Cortex,Cortex_ZG,17,#FD8D3C,#FD8D3C,#FDAE6B
Adrenal,Cortex,Cortex,Cortex_ZF,18,#FD8D3C,#FD8D3C,#FD8D3C
Adrenal,Cortex,Cortex,Male_only_ZF,19,#FD8D3C,#FD8D3C,#E6550D
Adrenal,Cortex,Cortex,X_zone,20,#FD8D3C,#FD8D3C,#A63603
Gastrocnemius,Adipocyte,Adipocyte,Adipocyte,1,#DE2D26,#DE2D26,#DE2D26
Gastrocnemius,Stromal,FAP,FAP,2,#a75628,#a75628,#a75628
Gastrocnemius,Endothelial,Endothelial,Endothelial,3,#31A354,#31A354,#31A354
Gastrocnemius,Immune,Macrophage,Macrophage,4,#dd77ae,#dd77ae,#dd77ae
Gastrocnemius,Immune,Lymphocyte,Lymphocyte,5,#dd77ae,#9a5379,#9a5379
Gastrocnemius,Smooth_muscle,Smooth_muscle,Smooth_muscle,6,#40beb4,#40beb4,#40beb4
Gastrocnemius,Schwann,Schwann,Schwann,7,#578a9f,#578a9f,#578a9f
Gastrocnemius,Tenocyte,Tenocyte,Tenocyte,8,#b0d419,#b0d419,#b0d419
Gastrocnemius,Myonuclei,Myonuclei,MTJ,9,#08306B,#08306B,#fb8071
Gastrocnemius,Myonuclei,Myonuclei,NMJ,10,#08306B,#08306B,#ffd92e
Gastrocnemius,Myonuclei,Myonuclei,Satellite,11,#08306B,#08306B,#9ECAE1
Gastrocnemius,Myonuclei,Myonuclei,Perinatal,12,#08306B,#08306B,#6BAED6
Gastrocnemius,Myonuclei,Myonuclei,Type1_Myonuclei,13,#08306B,#08306B,#4292C6
Gastrocnemius,Myonuclei,Myonuclei,Type2X_Myonuclei,14,#08306B,#08306B,#2171B5
Gastrocnemius,Myonuclei,Myonuclei,Type2A_Myonuclei,15,#08306B,#08306B,#08519C
Gastrocnemius,Myonuclei,Myonuclei,Type2B_Myonuclei,16,#08306B,#08306B,#08306B
Cortex,Endothelial,Endothelial,Endothelial,1,#31A354,#31A354,#31A354
Cortex,Pericyte,Pericyte,Pericyte,2,#ef6647,#ef6647,#ef6647
Cortex,VLMC,VLMC,VLMC,3,#DE2D26,#DE2D26,#DE2D26
Cortex,Immune,Microglia,Microglia,4,#dd77ae,#dd77ae,#dd77ae
Cortex,Glial,Astrocyte,Astrocyte,5,#75eacf,#75eacf,#75eacf
