,gene_name,display_name,biotype,keep
0,Zfy1,Zfy1,TF,True
1,Zfy2,Zfy2,TF,True
2,Sry,Sry,TF,True
3,Srebf2,Srebf2,TF,True
4,Zfp397,Zfp397,TF,True
5,Ylpm1,Ylpm1,TF,True
6,Zfp35,Zfp35,TF,True
7,Zfp24,Zfp24,TF,True
8,Prox2,Prox2,TF,True
9,Nfe2,Nfe2,TF,True
10,Zhx2,Zhx2,TF,True
11,Nr1i2,Nr1i2,TF,True
12,Cdx1,Cdx1,TF,True
13,E2f6,E2f6,TF,True
14,Dach1,Dach1,TF,True
15,Nkrf,Nkrf,TF,True
16,Insm2,Insm2,TF,True
17,Zfp275,Zfp275,TF,True
18,Zfp92,Zfp92,TF,True
19,Fos,Fos,TF,True
20,Jdp2,Jdp2,TF,True
21,Batf,Batf,TF,True
22,Klf5,Klf5,TF,True
23,Klf12,Klf12,TF,True
24,Snai2,Snai2,TF,True
25,Rhox3a,Rhox3a,TF,True
26,Rhox3a2,Rhox3a2,TF,True
27,Npas4,Npas4,TF,True
28,Rhox3c,Rhox3c,TF,True
29,Tcf20,Tcf20,TF,True
30,5730507C01Rik,5730507C01Rik,TF,True
31,Foxd4,Foxd4,TF,True
32,Olig2,Olig2,TF,True
33,Olig1,Olig1,TF,True
34,Zbtb20,Zbtb20,TF,True
35,Rhox3e,Rhox3e,TF,True
36,Rhox3f,Rhox3f,TF,True
37,Rhox3g,Rhox3g,TF,True
38,Tbx22,Tbx22,TF,True
39,Tfap2a,Tfap2a,TF,True
40,Rhox3h,Rhox3h,TF,True
41,Cebpd,Cebpd,TF,True
42,Myc,Myc,TF,True
43,Rhox10,Rhox10,TF,True
44,Rhox11,Rhox11,TF,True
45,Rhox13,Rhox13,TF,True
46,Zbtb33,Zbtb33,TF,True
47,Dmrt1,Dmrt1,TF,True
48,Gm10139,Gm10139,TF,True
49,Dmrt3,Dmrt3,TF,True
50,Dmrt2,Dmrt2,TF,True
51,Nkx2-1,Nkx2-1,TF,True
52,Nkx2-9,Nkx2-9,TF,True
53,Pax9,Pax9,TF,True
54,Pou3f4,Pou3f4,TF,True
55,Gcm2,Gcm2,TF,True
56,Zscan12,Zscan12,TF,True
57,Zfp712,Zfp712,TF,True
58,Fosl1,Fosl1,TF,True
59,Pou4f1,Pou4f1,TF,True
60,Zfp708,Zfp708,TF,True
61,Gm28557,Gm28557,TF,True
62,Rslcan18,Rslcan18,TF,True
63,Zfp759,Zfp759,TF,True
64,Zscan26,Zscan26,TF,True
65,Rsl1,Rsl1,TF,True
66,Zfp455,Zfp455,TF,True
67,Zfp458,Zfp458,TF,True
68,Hesx1,Hesx1,TF,True
69,Zfp457,Zfp457,TF,True
70,Foxa1,Foxa1,TF,True
71,Zfp595,Zfp595,TF,True
72,Hdx,Hdx,TF,True
73,Zfp953,Zfp953,TF,True
74,Gm28041,Gm28041,TF,True
75,Zfp456,Zfp456,TF,True
76,Hivep1,Hivep1,TF,True
77,Zfp429,Zfp429,TF,True
78,Zfp459,Zfp459,TF,True
79,Zfp874a,Zfp874a,TF,True
80,Esrrb,Esrrb,TF,True
81,Ovol1,Ovol1,TF,True
82,Zfp184,Zfp184,TF,True
83,Zfp874b,Zfp874b,TF,True
84,Zfp58,Zfp58,TF,True
85,Onecut2,Onecut2,TF,True
86,Zfp87,Zfp87,TF,True
87,Zfp748,Zfp748,TF,True
88,Zfp729b,Zfp729b,TF,True
89,Gm49345,Gm49345,TF,True
90,Zfp729a,Zfp729a,TF,True
91,Zfp738,Zfp738,TF,True
92,Zfp65,Zfp65,TF,True
93,Zfp85,Zfp85,TF,True
94,Zfp493,Zfp493,TF,True
95,Dach2,Dach2,TF,True
96,Sox21,Sox21,TF,True
97,Gm9376,Gm9376,TF,True
98,Foxd1,Foxd1,TF,True
99,Zfp273,Zfp273,TF,True
100,Rela,Rela,TF,True
101,Ppara,Ppara,TF,True
102,Gata4,Gata4,TF,True
103,Grhl1,Grhl1,TF,True
104,Tgif2lx2,Tgif2lx2,TF,True
105,Tgif2lx1,Tgif2lx1,TF,True
106,Klf11,Klf11,TF,True
107,Egr1,Egr1,TF,True
108,Hic2,Hic2,TF,True
109,Sox7,Sox7,TF,True
110,Zfp322a,Zfp322a,TF,True
111,4932411N23Rik,4932411N23Rik,TF,True
112,Rfx3,Rfx3,TF,True
113,Zfp366,Zfp366,TF,True
114,Zfp395,Zfp395,TF,True
115,Zfp983,Zfp983,TF,True
116,Six2,Six2,TF,True
117,Gm10226,Gm10226,TF,True
118,Zfp760,Zfp760,TF,True
119,Zfp229,Zfp229,TF,True
120,Pura,Pura,TF,True
121,Zfp820,Zfp820,TF,True
122,Glis3,Glis3,TF,True
123,Zfp995,Zfp995,TF,True
124,Zfp942,Zfp942,TF,True
125,Zfp943,Zfp943,TF,True
126,Zfp947,Zfp947,TF,True
127,Zfp994,Zfp994,TF,True
128,Gm7072,Gm7072,TF,True
129,Zfp944,Zfp944,TF,True
130,Zfp758,Zfp758,TF,True
131,Epas1,Epas1,TF,True
132,Zfp946,Zfp946,TF,True
133,Foxp4,Foxp4,TF,True
134,Runx1,Runx1,TF,True
135,Sox11,Sox11,TF,True
136,Zfp945,Zfp945,TF,True
137,Rfx5,Rfx5,TF,True
138,Zfp40,Zfp40,TF,True
139,Zfp213,Zfp213,TF,True
140,Sox2,Sox2,TF,True
141,Zfp13,Zfp13,TF,True
142,Irx1,Irx1,TF,True
143,Irx2,Irx2,TF,True
144,Zscan10,Zscan10,TF,True
145,Irx4,Irx4,TF,True
146,Nanog,Nanog,TF,True
147,Gata2,Gata2,TF,True
148,Bbx,Bbx,TF,True
149,Foxj2,Foxj2,TF,True
150,Sim2,Sim2,TF,True
151,Foxn2,Foxn2,TF,True
152,Zfat,Zfat,TF,True
153,Nfya,Nfya,TF,True
154,Vax1,Vax1,TF,True
155,Emx2,Emx2,TF,True
156,Foxi3,Foxi3,TF,True
157,Myt1l,Myt1l,TF,True
158,Ebf2,Ebf2,TF,True
159,Foxr2,Foxr2,TF,True
160,Klf8,Klf8,TF,True
161,Zfp169,Zfp169,TF,True
162,Zbtb11,Zbtb11,TF,True
163,Elf4,Elf4,TF,True
164,Barx1,Barx1,TF,True
165,Nobox,Nobox,TF,True
166,Zfp950,Zfp950,TF,True
167,Zfp267,Zfp267,TF,True
168,Rax,Rax,TF,True
169,Ctcf,Ctcf,TF,True
170,Satb1,Satb1,TF,True
171,Nr3c2,Nr3c2,TF,True
172,Gm21060,Gm21060,TF,True
173,Gsc2,Gsc2,TF,True
174,Mycs,Mycs,TF,True
175,Rfx4,Rfx4,TF,True
176,Zfp280c,Zfp280c,TF,True
177,Nkx2-6,Nkx2-6,TF,True
178,Nkx3-1,Nkx3-1,TF,True
179,Zfp119a,Zfp119a,TF,True
180,Zfp959,Zfp959,TF,True
181,Zfp119b,Zfp119b,TF,True
182,Mbtps2,Mbtps2,TF,True
183,Yy2,Yy2,TF,True
184,Thap11,Thap11,TF,True
185,Pou4f2,Pou4f2,TF,True
186,Egr3,Egr3,TF,True
187,Sox1,Sox1,TF,True
188,Zfp386,Zfp386,TF,True
189,Men1,Men1,TF,True
190,Fezf2,Fezf2,TF,True
191,Foxn3,Foxn3,TF,True
192,E4f1,E4f1,TF,True
193,Prdm4,Prdm4,TF,True
194,Mecp2,Mecp2,TF,True
195,Zfp786,Zfp786,TF,True
196,Ascl4,Ascl4,TF,True
197,Smad1,Smad1,TF,True
198,Zfp398,Zfp398,TF,True
199,Zfp282,Zfp282,TF,True
200,Stox1,Stox1,TF,True
201,Nr3c1,Nr3c1,TF,True
202,Gm19965,Gm19965,TF,True
203,Gm28363,Gm28363,TF,True
204,B020011L13Rik,B020011L13Rik,TF,True
205,Gm28360,Gm28360,TF,True
206,Zfp212,Zfp212,TF,True
207,Zbtb16,Zbtb16,TF,True
208,Gm28168,Gm28168,TF,True
209,Gm7145,Gm7145,TF,True
210,Gm29106,Gm29106,TF,True
211,Tbx1,Tbx1,TF,True
212,Zfp956,Zfp956,TF,True
213,Zfp777,Zfp777,TF,True
214,Erg,Erg,TF,True
215,Lhx8,Lhx8,TF,True
216,Zfp72,Zfp72,TF,True
217,Pou4f3,Pou4f3,TF,True
218,Tcerg1,Tcerg1,TF,True
219,Zfp746,Zfp746,TF,True
220,Mybl1,Mybl1,TF,True
221,Nfatc3,Nfatc3,TF,True
222,Foxp3,Foxp3,TF,True
223,Zfp825,Zfp825,TF,True
224,Gm32717,Gm32717,TF,True
225,Gm32802,Gm32802,TF,True
226,Sox4,Sox4,TF,True
227,Gm9040,Gm9040,TF,True
228,Gm9044,Gm9044,TF,True
229,Gm9045,Gm9045,TF,True
230,Gm9046,Gm9046,TF,True
231,Gm9048,Gm9048,TF,True
232,Gm9049,Gm9049,TF,True
233,Ets2,Ets2,TF,True
234,Pbx2,Pbx2,TF,True
235,Osr2,Osr2,TF,True
236,E2f3,E2f3,TF,True
237,Zfp90,Zfp90,TF,True
238,Zfp41,Zfp41,TF,True
239,Ferd3l,Ferd3l,TF,True
240,Twist1,Twist1,TF,True
241,Sp4,Sp4,TF,True
242,Atoh8,Atoh8,TF,True
243,Sp8,Sp8,TF,True
244,Zfp534,Zfp534,TF,True
245,Zfp984,Zfp984,TF,True
246,Zfp933,Zfp933,TF,True
247,Zfp654,Zfp654,TF,True
248,Mafa,Mafa,TF,True
249,Zbtb18,Zbtb18,TF,True
250,Irf4,Irf4,TF,True
251,Pou1f1,Pou1f1,TF,True
252,Gcm1,Gcm1,TF,True
253,Klf15,Klf15,TF,True
254,Zfp467,Zfp467,TF,True
255,Sox5,Sox5,TF,True
256,Grhl2,Grhl2,TF,True
257,Eno1b,Eno1b,TF,True
258,Pax3,Pax3,TF,True
259,Foxq1,Foxq1,TF,True
260,Hey2,Hey2,TF,True
261,Ascl1,Ascl1,TF,True
262,Foxf2,Foxf2,TF,True
263,Foxc1,Foxc1,TF,True
264,Rfx2,Rfx2,TF,True
265,Barx2,Barx2,TF,True
266,Ahr,Ahr,TF,True
267,Dbx2,Dbx2,TF,True
268,Tcf4,Tcf4,TF,True
269,Atf6b,Atf6b,TF,True
270,Atoh7,Atoh7,TF,True
271,Klf10,Klf10,TF,True
272,Fli1,Fli1,TF,True
273,Arnt,Arnt,TF,True
274,Nkx6-1,Nkx6-1,TF,True
275,Ets1,Ets1,TF,True
276,Meox2,Meox2,TF,True
277,Otx2,Otx2,TF,True
278,Tfb2m,Tfb2m,TF,True
279,Nfil3,Nfil3,TF,True
280,Nfat5,Nfat5,TF,True
281,Dlx6,Dlx6,TF,True
282,Zbtb21,Zbtb21,TF,True
283,Msx2,Msx2,TF,True
284,Gm12258,Gm12258,TF,True
285,2810021J22Rik,2810021J22Rik,TF,True
286,Zfp39,Zfp39,TF,True
287,A630089N07Rik,A630089N07Rik,TF,True
288,Tcf24,Tcf24,TF,True
289,Dlx5,Dlx5,TF,True
290,Zfp775,Zfp775,TF,True
291,Zfp449,Zfp449,TF,True
292,AI854703,AI854703,TF,True
293,Esx1,Esx1,TF,True
294,Spic,Spic,TF,True
295,Etv1,Etv1,TF,True
296,Zfhx3,Zfhx3,TF,True
297,Gabpa,Gabpa,TF,True
298,Bhlhe41,Bhlhe41,TF,True
299,Six6,Six6,TF,True
300,Six1,Six1,TF,True
301,Six4,Six4,TF,True
302,Egr2,Egr2,TF,True
303,Vdr,Vdr,TF,True
304,Glis1,Glis1,TF,True
305,Dmrtb1,Dmrtb1,TF,True
306,Zfp384,Zfp384,TF,True
307,Helt,Helt,TF,True
308,Hif1a,Hif1a,TF,True
309,Smad4,Smad4,TF,True
310,Zfp518a,Zfp518a,TF,True
311,Bach1,Bach1,TF,True
312,Tfdp1,Tfdp1,TF,True
313,Zfp641,Zfp641,TF,True
314,Zbtb12,Zbtb12,TF,True
315,Zfp263,Zfp263,TF,True
316,Zfp174,Zfp174,TF,True
317,Zfp597,Zfp597,TF,True
318,Pou5f2,Pou5f2,TF,True
319,Nr1h4,Nr1h4,TF,True
320,Zbtb7c,Zbtb7c,TF,True
321,Trps1,Trps1,TF,True
322,Smad2,Smad2,TF,True
323,Nr2f1,Nr2f1,TF,True
324,Skor2,Skor2,TF,True
325,Zfp37,Zfp37,TF,True
326,Casz1,Casz1,TF,True
327,Rel,Rel,TF,True
328,Zfp821,Zfp821,TF,True
329,AI987944,AI987944,TF,True
330,Ddn,Ddn,TF,True
331,AW146154,AW146154,TF,True
332,Foxg1,Foxg1,TF,True
333,Gm43517,Gm43517,TF,True
334,Gm6871,Gm6871,TF,True
335,Zfp648,Zfp648,TF,True
336,Irf2,Irf2,TF,True
337,Bhlha15,Bhlha15,TF,True
338,2610021A01Rik,2610021A01Rik,TF,True
339,Zfp788,Zfp788,TF,True
340,Kmt2d,Kmt2d,TF,True
341,Rpf2,Rpf2,TF,True
342,Rfx1,Rfx1,TF,True
343,Zbtb3,Zbtb3,TF,True
344,Bcl11a,Bcl11a,TF,True
345,Gsc,Gsc,TF,True
346,Esr2,Esr2,TF,True
347,Zfp612,Zfp612,TF,True
348,Nr2c2,Nr2c2,TF,True
349,Stox2,Stox2,TF,True
350,Tfap4,Tfap4,TF,True
351,Nkx1-1,Nkx1-1,TF,True
352,Nfatc1,Nfatc1,TF,True
353,Glis2,Glis2,TF,True
354,Pknox2,Pknox2,TF,True
355,Tfe3,Tfe3,TF,True
356,Neurod2,Neurod2,TF,True
357,Nfxl1,Nfxl1,TF,True
358,Zbtb25,Zbtb25,TF,True
359,Zbtb1,Zbtb1,TF,True
360,Cc2d1a,Cc2d1a,TF,True
361,Tsc22d1,Tsc22d1,TF,True
362,Zfp141,Zfp141,TF,True
363,Sall3,Sall3,TF,True
364,Zbtb24,Zbtb24,TF,True
365,Zfp867,Zfp867,TF,True
366,Zfp977,Zfp977,TF,True
367,Zfp976,Zfp976,TF,True
368,Zfp975,Zfp975,TF,True
369,Gm17067,Gm17067,TF,True
370,Gm2381,Gm2381,TF,True
371,Arntl2,Arntl2,TF,True
372,Zic3,Zic3,TF,True
373,Zfp236,Zfp236,TF,True
374,Klf6,Klf6,TF,True
375,Zfp516,Zfp516,TF,True
376,Tshz1,Tshz1,TF,True
377,Ndn,Ndn,TF,True
378,Zkscan17,Zkscan17,TF,True
379,Zfp715,Zfp715,TF,True
380,Tfb1m,Tfb1m,TF,True
381,Ikzf3,Ikzf3,TF,True
382,Etv3,Etv3,TF,True
383,Etv3l,Etv3l,TF,True
384,Pitx2,Pitx2,TF,True
385,Klf13,Klf13,TF,True
386,Zfp951,Zfp951,TF,True
387,Gm45871,Gm45871,TF,True
388,Bnc1,Bnc1,TF,True
389,Zfp219,Zfp219,TF,True
390,Nkx2-3,Nkx2-3,TF,True
391,Rreb1,Rreb1,TF,True
392,Scx,Scx,TF,True
393,Lhx4,Lhx4,TF,True
394,Stat4,Stat4,TF,True
395,Bcl11b,Bcl11b,TF,True
396,Hsf1,Hsf1,TF,True
397,Foxp2,Foxp2,TF,True
398,Scrt1,Scrt1,TF,True
399,Etv5,Etv5,TF,True
400,Myrf,Myrf,TF,True
401,Atf1,Atf1,TF,True
402,Elf1,Elf1,TF,True
403,Gpbp1,Gpbp1,TF,True
404,Elf2,Elf2,TF,True
405,Tfec,Tfec,TF,True
406,Mxd3,Mxd3,TF,True
407,Nacc1,Nacc1,TF,True
408,Barhl2,Barhl2,TF,True
409,Zfp644,Zfp644,TF,True
410,Csrnp2,Csrnp2,TF,True
411,Thra,Thra,TF,True
