gene_name,display_name,biotype,keep
Actl6a,Actl6a,Chromatin_binding,TRUE
Actl6b,Actl6b,Chromatin_binding,TRUE
Actn4,Actn4,Chromatin_binding,TRUE
Actr6,Actr6,Chromatin_binding,TRUE
Actrt1,Actrt1,Chromatin_binding,TRUE
Adnp,Adnp,Chromatin_binding,TRUE
Aire,Aire,Chromatin_binding,TRUE
Ajuba,Ajuba,Chromatin_binding,TRUE
Akap8,Akap8,Chromatin_binding,TRUE
Ankrd2,Ankrd2,Chromatin_binding,TRUE
Ankrd17,Ankrd17,Chromatin_binding,TRUE
Apbb1,Apbb1,Chromatin_binding,TRUE
Apex1,Apex1,Chromatin_binding,TRUE
App,App,Chromatin_binding,TRUE
Aptx,Aptx,Chromatin_binding,TRUE
Arid1a,Arid1a,Chromatin_binding,TRUE
Arid1b,Arid1b,Chromatin_binding,TRUE
Arid3a,Arid3a,Chromatin_binding,TRUE
Arid5a,Arid5a,Chromatin_binding,TRUE
Asf1a,Asf1a,Chromatin_binding,TRUE
Asxl1,Asxl1,Chromatin_binding,TRUE
Asxl2,Asxl2,Chromatin_binding,TRUE
Asxl3,Asxl3,Chromatin_binding,TRUE
Atad2,Atad2,Chromatin_binding,TRUE
Atad2b,Atad2b,Chromatin_binding,TRUE
Atrx,Atrx,Chromatin_binding,TRUE
Atxn1,Atxn1,Chromatin_binding,TRUE
Atxn7,Atxn7,Chromatin_binding,TRUE
Auts2,Auts2,Chromatin_binding,TRUE
Bahcc1,Bahcc1,Chromatin_binding,TRUE
Bahd1,Bahd1,Chromatin_binding,TRUE
Bap1,Bap1,Chromatin_binding,TRUE
Bcas3,Bcas3,Chromatin_binding,TRUE
Bend6,Bend6,Chromatin_binding,TRUE
Bmi1,Bmi1,Chromatin_binding,TRUE
Brca1,Brca1,Chromatin_binding,TRUE
Brd2,Brd2,Chromatin_binding,TRUE
Brd3,Brd3,Chromatin_binding,TRUE
Brd4,Brd4,Chromatin_binding,TRUE
Brip1,Brip1,Chromatin_binding,TRUE
Cabin1,Cabin1,Chromatin_binding,TRUE
Calcoco1,Calcoco1,Chromatin_binding,TRUE
Camta2,Camta2,Chromatin_binding,TRUE
Cbfa2t3,Cbfa2t3,Chromatin_binding,TRUE
Cbx1,Cbx1,Chromatin_binding,TRUE
Cbx2,Cbx2,Chromatin_binding,TRUE
Cbx3,Cbx3,Chromatin_binding,TRUE
Cbx4,Cbx4,Chromatin_binding,TRUE
Cbx5,Cbx5,Chromatin_binding,TRUE
Cbx7,Cbx7,Chromatin_binding,TRUE
Cbx8,Cbx8,Chromatin_binding,TRUE
Ccnt1,Ccnt1,Chromatin_binding,TRUE
Ccnt2,Ccnt2,Chromatin_binding,TRUE
Cdc6,Cdc6,Chromatin_binding,TRUE
Cdc45,Cdc45,Chromatin_binding,TRUE
Cdk1,Cdk1,Chromatin_binding,TRUE
Cdt1,Cdt1,Chromatin_binding,TRUE
Cenpb,Cenpb,Chromatin_binding,TRUE
Cenps,Cenps,Chromatin_binding,TRUE
Cgas,Cgas,Chromatin_binding,TRUE
Chd1,Chd1,Chromatin_binding,TRUE
Chd1l,Chd1l,Chromatin_binding,TRUE
Chd2,Chd2,Chromatin_binding,TRUE
Chd3,Chd3,Chromatin_binding,TRUE
Chd4,Chd4,Chromatin_binding,TRUE
Chd5,Chd5,Chromatin_binding,TRUE
Chd6,Chd6,Chromatin_binding,TRUE
Chd7,Chd7,Chromatin_binding,TRUE
Chd8,Chd8,Chromatin_binding,TRUE
Cited1,Cited1,Chromatin_binding,TRUE
Cited2,Cited2,Chromatin_binding,TRUE
Cks2,Cks2,Chromatin_binding,TRUE
Coq7,Coq7,Chromatin_binding,TRUE
Crtc2,Crtc2,Chromatin_binding,TRUE
Csnk2b,Csnk2b,Chromatin_binding,TRUE
Ctbp1,Ctbp1,Chromatin_binding,TRUE
Ctbp2,Ctbp2,Chromatin_binding,TRUE
Ctnnb1,Ctnnb1,Chromatin_binding,TRUE
Cys1,Cys1,Chromatin_binding,TRUE
Ddx1,Ddx1,Chromatin_binding,TRUE
Ddx5,Ddx5,Chromatin_binding,TRUE
Ddx11,Ddx11,Chromatin_binding,TRUE
Ddx17,Ddx17,Chromatin_binding,TRUE
Dhx9,Dhx9,Chromatin_binding,TRUE
Dhx30,Dhx30,Chromatin_binding,TRUE
Dnajc2,Dnajc2,Chromatin_binding,TRUE
Dnmt1,Dnmt1,Chromatin_binding,TRUE
Dnmt3a,Dnmt3a,Chromatin_binding,TRUE
Dnmt3b,Dnmt3b,Chromatin_binding,TRUE
Dnttip1,Dnttip1,Chromatin_binding,TRUE
Dppa2,Dppa2,Chromatin_binding,TRUE
Dppa4,Dppa4,Chromatin_binding,TRUE
Ecsit,Ecsit,Chromatin_binding,TRUE
Egfr,Egfr,Chromatin_binding,TRUE
Eny2,Eny2,Chromatin_binding,TRUE
Ep400,Ep400,Chromatin_binding,TRUE
Epop,Epop,Chromatin_binding,TRUE
Ercc4,Ercc4,Chromatin_binding,TRUE
Evx1os,Evx1os,Chromatin_binding,TRUE
Exo1,Exo1,Chromatin_binding,TRUE
Eya3,Eya3,Chromatin_binding,TRUE
Faap24,Faap24,Chromatin_binding,TRUE
Fabp1,Fabp1,Chromatin_binding,TRUE
Fancm,Fancm,Chromatin_binding,TRUE
Fcor,Fcor,Chromatin_binding,TRUE
Fmr1,Fmr1,Chromatin_binding,TRUE
Fus,Fus,Chromatin_binding,TRUE
Gadd45a,Gadd45a,Chromatin_binding,TRUE
Glyr1,Glyr1,Chromatin_binding,TRUE
Gm20379,Gm20379,Chromatin_binding,TRUE
Gmnc,Gmnc,Chromatin_binding,TRUE
Gper1,Gper1,Chromatin_binding,TRUE
Grwd1,Grwd1,Chromatin_binding,TRUE
Gtf2h1,Gtf2h1,Chromatin_binding,TRUE
H1f0,H1f0,Chromatin_binding,TRUE
H3f3a,H3f3a,Chromatin_binding,TRUE
H3f3b,H3f3b,Chromatin_binding,TRUE
Hcfc1,Hcfc1,Chromatin_binding,TRUE
Hdgfl2,Hdgfl2,Chromatin_binding,TRUE
Hdgfl3,Hdgfl3,Chromatin_binding,TRUE
Hells,Hells,Chromatin_binding,TRUE
Hira,Hira,Chromatin_binding,TRUE
Hmga1,Hmga1,Chromatin_binding,TRUE
Hmga2,Hmga2,Chromatin_binding,TRUE
Hmgn1,Hmgn1,Chromatin_binding,TRUE
Hmgn2,Hmgn2,Chromatin_binding,TRUE
Hmgn3,Hmgn3,Chromatin_binding,TRUE
Hmgn5,Hmgn5,Chromatin_binding,TRUE
Hnrnpd,Hnrnpd,Chromatin_binding,TRUE
Hnrnpu,Hnrnpu,Chromatin_binding,TRUE
Hp1bp3,Hp1bp3,Chromatin_binding,TRUE
Hpf1,Hpf1,Chromatin_binding,TRUE
Ift74,Ift74,Chromatin_binding,TRUE
Ing2,Ing2,Chromatin_binding,TRUE
Ing5,Ing5,Chromatin_binding,TRUE
Kcnq1ot1,Kcnq1ot1,Chromatin_binding,TRUE
Klhdc3,Klhdc3,Chromatin_binding,TRUE
L3mbtl1,L3mbtl1,Chromatin_binding,TRUE
L3mbtl2,L3mbtl2,Chromatin_binding,TRUE
L3mbtl3,L3mbtl3,Chromatin_binding,TRUE
L3mbtl4,L3mbtl4,Chromatin_binding,TRUE
Lcor,Lcor,Chromatin_binding,TRUE
Ldb1,Ldb1,Chromatin_binding,TRUE
Lemd2,Lemd2,Chromatin_binding,TRUE
Lemd3,Lemd3,Chromatin_binding,TRUE
Lmo2,Lmo2,Chromatin_binding,TRUE
Lrwd1,Lrwd1,Chromatin_binding,TRUE
Mapk15,Mapk15,Chromatin_binding,TRUE
Mbd1,Mbd1,Chromatin_binding,TRUE
Mbd2,Mbd2,Chromatin_binding,TRUE
Mbd3,Mbd3,Chromatin_binding,TRUE
Mbd5,Mbd5,Chromatin_binding,TRUE
Mbd6,Mbd6,Chromatin_binding,TRUE
Mbtd1,Mbtd1,Chromatin_binding,TRUE
Mcm8,Mcm8,Chromatin_binding,TRUE
Mcm9,Mcm9,Chromatin_binding,TRUE
Mcmbp,Mcmbp,Chromatin_binding,TRUE
Meiob,Meiob,Chromatin_binding,TRUE
Mir208b,Mir208b,Chromatin_binding,TRUE
Mkrn1,Mkrn1,Chromatin_binding,TRUE
Mlh1,Mlh1,Chromatin_binding,TRUE
Mlh3,Mlh3,Chromatin_binding,TRUE
Mllt3,Mllt3,Chromatin_binding,TRUE
Mllt6,Mllt6,Chromatin_binding,TRUE
Mllt10,Mllt10,Chromatin_binding,TRUE
Morc2a,Morc2a,Chromatin_binding,TRUE
Morc2b,Morc2b,Chromatin_binding,TRUE
Morf4l1,Morf4l1,Chromatin_binding,TRUE
Mphosph8,Mphosph8,Chromatin_binding,TRUE
Mrnip,Mrnip,Chromatin_binding,TRUE
Msh2,Msh2,Chromatin_binding,TRUE
Msh6,Msh6,Chromatin_binding,TRUE
Msl1,Msl1,Chromatin_binding,TRUE
Mta1,Mta1,Chromatin_binding,TRUE
Mta3,Mta3,Chromatin_binding,TRUE
Nap1l1,Nap1l1,Chromatin_binding,TRUE
Nap1l2,Nap1l2,Chromatin_binding,TRUE
Nap1l3,Nap1l3,Chromatin_binding,TRUE
Nap1l4,Nap1l4,Chromatin_binding,TRUE
Nap1l5,Nap1l5,Chromatin_binding,TRUE
Ncaph,Ncaph,Chromatin_binding,TRUE
Ncaph2,Ncaph2,Chromatin_binding,TRUE
Ncoa2,Ncoa2,Chromatin_binding,TRUE
Ncoa5,Ncoa5,Chromatin_binding,TRUE
Ncor1,Ncor1,Chromatin_binding,TRUE
Ncor2,Ncor2,Chromatin_binding,TRUE
Nelfa,Nelfa,Chromatin_binding,TRUE
Nelfe,Nelfe,Chromatin_binding,TRUE
Nipbl,Nipbl,Chromatin_binding,TRUE
Nkap,Nkap,Chromatin_binding,TRUE
Nkapl,Nkapl,Chromatin_binding,TRUE
Noc2l,Noc2l,Chromatin_binding,TRUE
Noc3l,Noc3l,Chromatin_binding,TRUE
Nono,Nono,Chromatin_binding,TRUE
Notch1,Notch1,Chromatin_binding,TRUE
Npm1,Npm1,Chromatin_binding,TRUE
Npm2,Npm2,Chromatin_binding,TRUE
Npm3,Npm3,Chromatin_binding,TRUE
Nucks1,Nucks1,Chromatin_binding,TRUE
Nudt21,Nudt21,Chromatin_binding,TRUE
Nup98,Nup98,Chromatin_binding,TRUE
Nup153,Nup153,Chromatin_binding,TRUE
Nupr1,Nupr1,Chromatin_binding,TRUE
Ogt,Ogt,Chromatin_binding,TRUE
Orc1,Orc1,Chromatin_binding,TRUE
Paf1,Paf1,Chromatin_binding,TRUE
Parg,Parg,Chromatin_binding,TRUE
Parp1,Parp1,Chromatin_binding,TRUE
Parp2,Parp2,Chromatin_binding,TRUE
Paupar,Paupar,Chromatin_binding,TRUE
Pbrm1,Pbrm1,Chromatin_binding,TRUE
Pcgf1,Pcgf1,Chromatin_binding,TRUE
Pcgf2,Pcgf2,Chromatin_binding,TRUE
Pclaf,Pclaf,Chromatin_binding,TRUE
Pcna,Pcna,Chromatin_binding,TRUE
Pelp1,Pelp1,Chromatin_binding,TRUE
Per1,Per1,Chromatin_binding,TRUE
Phc1,Phc1,Chromatin_binding,TRUE
Phc2,Phc2,Chromatin_binding,TRUE
Phc3,Phc3,Chromatin_binding,TRUE
Phf1,Phf1,Chromatin_binding,TRUE
Phf13,Phf13,Chromatin_binding,TRUE
Phf19,Phf19,Chromatin_binding,TRUE
Phf21a,Phf21a,Chromatin_binding,TRUE
Pkn1,Pkn1,Chromatin_binding,TRUE
Plac8,Plac8,Chromatin_binding,TRUE
Pola1,Pola1,Chromatin_binding,TRUE
Pold1,Pold1,Chromatin_binding,TRUE
Pole,Pole,Chromatin_binding,TRUE
Pole3,Pole3,Chromatin_binding,TRUE
Polg,Polg,Chromatin_binding,TRUE
Polq,Polq,Chromatin_binding,TRUE
Polr1a,Polr1a,Chromatin_binding,TRUE
Polr2a,Polr2a,Chromatin_binding,TRUE
