"","gene_id","gene_name","gene_type"
"26252","ENSMUSG00000051951.5","Xkr4","protein_coding"
"26253","ENSMUSG00000102851.1","Gm18956","processed_pseudogene"
"26257","ENSMUSG00000089699.1","Gm1992","antisense"
"26259","ENSMUSG00000103147.1","Gm7341","processed_pseudogene"
"26261","ENSMUSG00000102331.1","Gm19938","sense_intronic"
"26265","ENSMUSG00000102343.1","Gm37381","lincRNA"
"26266","ENSMUSG00000025900.12","Rp1","protein_coding"
"26267","ENSMUSG00000102948.1","Gm6101","processed_pseudogene"
"26269","ENSMUSG00000025902.13","Sox17","protein_coding"
"26270","ENSMUSG00000104238.1","Gm37587","processed_transcript"
"26271","ENSMUSG00000102269.1","Gm7357","processed_pseudogene"
"26273","ENSMUSG00000103003.1","Gm38076","processed_pseudogene"
"26274","ENSMUSG00000104328.1","Gm37323","lincRNA"
"26275","ENSMUSG00000102735.1","Gm7369","processed_pseudogene"
"26276","ENSMUSG00000098104.1","Gm6085","processed_pseudogene"
"26277","ENSMUSG00000102175.1","Gm6119","processed_pseudogene"
"26279","ENSMUSG00000103265.1","Gm2053","processed_pseudogene"
"26280","ENSMUSG00000103922.1","Gm6123","processed_pseudogene"
"26281","ENSMUSG00000033845.13","Mrpl15","protein_coding"
"26283","ENSMUSG00000025903.14","Lypla1","protein_coding"
"26284","ENSMUSG00000104217.1","Gm37988","protein_coding"
"26285","ENSMUSG00000033813.15","Tcea1","protein_coding"
"26286","ENSMUSG00000062588.4","Gm6104","processed_pseudogene"
"26288","ENSMUSG00000002459.17","Rgs20","protein_coding"
"26289","ENSMUSG00000091305.1","Gm17100","processed_pseudogene"
"26291","ENSMUSG00000085623.1","Gm16041","antisense"
"26292","ENSMUSG00000091665.1","Gm17101","processed_pseudogene"
"26293","ENSMUSG00000033793.12","Atp6v1h","protein_coding"
"26294","ENSMUSG00000104352.1","Gm7182","processed_pseudogene"
"26297","ENSMUSG00000025905.13","Oprk1","protein_coding"
"26298","ENSMUSG00000103936.1","Gm36965","processed_pseudogene"
"26299","ENSMUSG00000093015.1","Gm22463","miRNA"
"26301","ENSMUSG00000033774.4","Npbwr1","protein_coding"
"26302","ENSMUSG00000103090.1","Gm19214","processed_pseudogene"
"26303","ENSMUSG00000025907.14","Rb1cc1","protein_coding"
"26304","ENSMUSG00000090031.2","4732440D04Rik","antisense"
"26305","ENSMUSG00000087247.3","Alkal1","protein_coding"
"26306","ENSMUSG00000103355.1","Gm2147","processed_pseudogene"
"26307","ENSMUSG00000102706.1","Gm7417","processed_pseudogene"
"26308","ENSMUSG00000103845.1","Gm19026","processed_pseudogene"
"26309","ENSMUSG00000033740.17","St18","protein_coding"
"26311","ENSMUSG00000104385.1","Gm7449","processed_pseudogene"
"26312","ENSMUSG00000102135.1","Gm37108","processed_pseudogene"
"26313","ENSMUSG00000103282.1","Gm37275","processed_pseudogene"
"26314","ENSMUSG00000102534.1","Gm37225","processed_pseudogene"
"26315","ENSMUSG00000102213.1","Gm37489","processed_pseudogene"
"26316","ENSMUSG00000103629.1","Gm5694","processed_pseudogene"
"26317","ENSMUSG00000051285.17","Pcmtd1","protein_coding"
"26318","ENSMUSG00000098201.1","Gm26983","processed_pseudogene"
"26320","ENSMUSG00000048538.7","Gm9826","processed_pseudogene"
"26321","ENSMUSG00000103709.1","Nras-ps2","processed_pseudogene"
"26323","ENSMUSG00000102768.1","Gm19002","processed_pseudogene"
"26324","ENSMUSG00000097797.6","Gm26901","lincRNA"
"26325","ENSMUSG00000103498.1","Gm18984","processed_pseudogene"
"26326","ENSMUSG00000103067.1","Gm30414","lincRNA"
"26327","ENSMUSG00000102320.1","Gm37791","processed_pseudogene"
"26328","ENSMUSG00000104226.1","Gm7470","processed_pseudogene"
"26329","ENSMUSG00000103903.1","Rps2-ps2","processed_pseudogene"
"26330","ENSMUSG00000103557.1","Gm38216","processed_pseudogene"
"26331","ENSMUSG00000025909.16","Sntg1","protein_coding"
"26333","ENSMUSG00000086235.1","Gm16284","processed_pseudogene"
"26335","ENSMUSG00000093970.1","Gm23358","miRNA"
"26337","ENSMUSG00000084353.1","Gm15452","processed_pseudogene"
"26338","ENSMUSG00000103933.1","Gm36964","processed_pseudogene"
"26339","ENSMUSG00000076135.1","Gm24276","miRNA"
"26340","ENSMUSG00000086195.1","Gm6152","processed_pseudogene"
"26341","ENSMUSG00000104504.1","Gm7445","processed_pseudogene"
"26342","ENSMUSG00000066693.2","Gm7493","processed_pseudogene"
"26344","ENSMUSG00000103819.1","Gm38008","processed_pseudogene"
"26346","ENSMUSG00000101571.2","Gm6187","processed_pseudogene"
"26347","ENSMUSG00000104428.1","Gm18299","processed_pseudogene"
"26348","ENSMUSG00000102272.1","Gm7512","processed_pseudogene"
"26350","ENSMUSG00000103411.1","Gm18300","processed_pseudogene"
"26351","ENSMUSG00000061024.8","Rrs1","protein_coding"
"26352","ENSMUSG00000025911.14","Adhfe1","protein_coding"
"26353","ENSMUSG00000079671.8","2610203C22Rik","processed_transcript"
"26354","ENSMUSG00000081441.3","Gm6161","processed_pseudogene"
"26355","ENSMUSG00000067879.3","Vxn","protein_coding"
"26356","ENSMUSG00000099827.1","Gm29520","lincRNA"
"26357","ENSMUSG00000025912.16","Mybl1","protein_coding"
"26358","ENSMUSG00000045210.8","Vcpip1","protein_coding"
"26359","ENSMUSG00000097893.8","1700034P13Rik","antisense"
"26360","ENSMUSG00000025915.14","Sgk3","protein_coding"
